,id,title,subtitle,sq_mt_built,sq_mt_useful,n_rooms,n_bathrooms,floor,neighborhood_id,rent_price,buy_price,house_type_id,is_new_development,is_renewal_needed,energy_certificate,has_parking,is_exterior,tipo,barrio_pm2,barrio,distr,e_certificate
13510,8232,Piso en venta en SAN BALDOMERO,"Pueblo Nuevo, Madrid",94.0,79.9,2,1.0,4,Neighborhood 39: Pueblo Nuevo (2578.87 €/m2) - District 7: Ciudad Lineal,604,114900,HouseType 1: Pisos,0,0,en trámite,0,1,0.0,2.5788699999999998,Pueblo Nuevo,Ciudad Lineal,0
13511,8231,Piso en venta en calle de María Teresa Sáenz de Heredia,"Ventas, Madrid",64.0,54.4,3,1.0,4,Neighborhood 42: Ventas (2686.93 €/m2) - District 7: Ciudad Lineal,694,137000,HouseType 1: Pisos,0,0,en trámite,0,1,0.0,2.68693,Ventas,Ciudad Lineal,0
13513,8229,Piso en venta en Concepción,"Ciudad Lineal, Madrid",80.0,68.0,4,1.0,5,Neighborhood 38: Concepción (3341.09 €/m2) - District 7: Ciudad Lineal,1187,295000,HouseType 1: Pisos,0,0,E,0,1,0.0,3.3410900000000003,Concepción,Ciudad Lineal,3
13515,8227,Piso en venta en Costillares,"Ciudad Lineal, Madrid",165.0,140.25,4,3.0,4,Neighborhood 45: Costillares (4235.69 €/m2) - District 7: Ciudad Lineal,2285,775000,HouseType 1: Pisos,0,0,en trámite,1,1,0.0,4.23569,Costillares,Ciudad Lineal,0
13516,8226,Piso en venta en calle de Gutierre de Cetina,"Pueblo Nuevo, Madrid",70.0,65.0,3,1.0,1,Neighborhood 39: Pueblo Nuevo (2578.87 €/m2) - District 7: Ciudad Lineal,933,205000,HouseType 1: Pisos,0,0,en trámite,0,1,0.0,2.5788699999999998,Pueblo Nuevo,Ciudad Lineal,0
13519,8223,"Piso en venta en calle Gerardo Cordón, Madrid","Ventas, Madrid",51.0,48.0,1,1.0,2,Neighborhood 42: Ventas (2686.93 €/m2) - District 7: Ciudad Lineal,827,173000,HouseType 1: Pisos,0,0,en trámite,1,1,0.0,2.68693,Ventas,Ciudad Lineal,0
13520,8222,"Piso en venta en calle treviana, 1","San Juan Bautista, Madrid",86.0,80.0,2,1.0,1,Neighborhood 46: San Juan Bautista (4098.7 €/m2) - District 7: Ciudad Lineal,1296,339000,HouseType 1: Pisos,0,0,D,0,1,0.0,4.0987,San Juan,Ciudad Lineal,4
13521,8221,"Piso en venta en calle Idioma Esperanto, 22","Pueblo Nuevo, Madrid",95.0,80.0,3,2.0,0.5,Neighborhood 39: Pueblo Nuevo (2578.87 €/m2) - District 7: Ciudad Lineal,1067,250000,HouseType 1: Pisos,0,0,no indicado,0,1,0.0,2.5788699999999998,Pueblo Nuevo,Ciudad Lineal,0
13522,8220,Piso en venta en calle Montejurra,"Ventas, Madrid",76.0,73.0,3,1.0,5,Neighborhood 42: Ventas (2686.93 €/m2) - District 7: Ciudad Lineal,933,205000,HouseType 1: Pisos,0,1,E,0,1,0.0,2.68693,Ventas,Ciudad Lineal,3
13523,8219,"Piso en venta en calle Elfo, 28","Quintana, Madrid",65.0,60.0,2,1.0,3,Neighborhood 40: Quintana (2900.58 €/m2) - District 7: Ciudad Lineal,1148,280000,HouseType 1: Pisos,0,0,no indicado,0,0,0.0,2.9005799999999997,Quintana,Ciudad Lineal,0
13524,8218,"Piso en venta en calle Rafael Bergamín, 20","San Juan Bautista, Madrid",74.0,62.9,2,1.0,5,Neighborhood 46: San Juan Bautista (4098.7 €/m2) - District 7: Ciudad Lineal,1393,380000,HouseType 1: Pisos,0,0,E,1,1,0.0,4.0987,San Juan,Ciudad Lineal,3
13526,8216,"Piso en venta en calle de Arturo Soria, 189","Colina, Madrid",81.0,68.85,1,1.0,0,Neighborhood 44: Colina (4677.53 €/m2) - District 7: Ciudad Lineal,964,215000,HouseType 1: Pisos,0,0,D,0,0,0.0,4.67753,Colina,Ciudad Lineal,4
13527,8215,"Piso en venta en calle del Apóstol Santiago, 54","Ventas, Madrid",72.0,61.2,2,2.0,7,Neighborhood 42: Ventas (2686.93 €/m2) - District 7: Ciudad Lineal,1323,350000,HouseType 1: Pisos,0,0,en trámite,1,1,0.0,2.68693,Ventas,Ciudad Lineal,0
13528,8214,"Piso en venta en calle de Torrelaguna, 63","San Pascual, Madrid",110.0,93.5,3,2.0,2,Neighborhood 41: San Pascual (4015.76 €/m2) - District 7: Ciudad Lineal,1655,495000,HouseType 1: Pisos,0,0,no indicado,0,1,0.0,4.01576,San Pascual,Ciudad Lineal,0
13529,8213,Piso en venta en Av. de Badajoz,"San Pascual, Madrid",140.0,122.0,4,2.0,1,Neighborhood 41: San Pascual (4015.76 €/m2) - District 7: Ciudad Lineal,1978,635000,HouseType 1: Pisos,0,0,en trámite,0,1,0.0,4.01576,San Pascual,Ciudad Lineal,0
13530,8212,Piso en venta en CALERUEGA,"Costillares, Madrid",293.0,209.0,5,4.0,2,Neighborhood 45: Costillares (4235.69 €/m2) - District 7: Ciudad Lineal,2512,995000,HouseType 1: Pisos,0,0,en trámite,1,1,0.0,4.23569,Costillares,Ciudad Lineal,0
13531,8211,Piso en venta en calle Villaescusa,"Pueblo Nuevo, Madrid",119.0,101.15,3,2.0,1,Neighborhood 39: Pueblo Nuevo (2578.87 €/m2) - District 7: Ciudad Lineal,1382,375000,HouseType 1: Pisos,0,0,C,1,1,0.0,2.5788699999999998,Pueblo Nuevo,Ciudad Lineal,5
13532,8210,Piso en venta en Pueblo Nuevo,"Ciudad Lineal, Madrid",85.0,80.0,3,1.0,2,Neighborhood 39: Pueblo Nuevo (2578.87 €/m2) - District 7: Ciudad Lineal,870,185700,HouseType 1: Pisos,0,1,en trámite,0,1,0.0,2.5788699999999998,Pueblo Nuevo,Ciudad Lineal,0
13533,8209,Dúplex en venta en Pueblo Nuevo,"Ciudad Lineal, Madrid",118.0,102.0,4,2.0,4,Neighborhood 39: Pueblo Nuevo (2578.87 €/m2) - District 7: Ciudad Lineal,1382,375000,HouseType 4: Dúplex,0,0,en trámite,0,1,1.0,2.5788699999999998,Pueblo Nuevo,Ciudad Lineal,0
